graph_section,components,num_nodes,num_edges,num_edge_types,mean_component_diameter,mean_component_distance,density,mean_component_connectivity,mean_degree,median_degree,max_degree,stdev_degree,skewness_degree,kurtosis_degree
full graph,328.0,9692.0,15808.0,237.0,1.1920731707317074,1.0040508981596645,7.10144261869739e-07,1.1097560975609757,3.2620718118035494,2.0,423.0,7.799001608101086,26.805501993406722,1106.3273674516104
full graph,79.0,12857.0,47509.0,237.0,1.0253164556962024,0.8505838086442417,1.2127800255675768e-06,1.2658227848101267,7.390371004122268,4.0,1301.0,20.62201395568762,31.328371882055013,1516.1899753460627
full graph,131.0,11934.0,31686.0,237.0,1.1297709923664123,0.9455087553874083,9.388223017571641e-07,1.1755725190839694,5.310206133735545,3.0,850.0,14.191924713488037,29.42594455479396,1339.0897966524483
full graph,32.0,13651.0,79182.0,237.0,1.0,0.7903911416765458,1.7930029456054814e-06,1.4375,11.600908358362025,7.0,2182.0,33.48150518665294,32.34943045407768,1616.8700502362378
full graph,52.0,13351.0,63340.0,237.0,1.0192307692307692,0.8591250843695588,1.4994591939065274e-06,1.3076923076923077,9.488427833121115,6.0,1760.0,27.16635387515618,32.22231428730526,1604.8373388439663
full graph,20.0,13992.0,110823.0,237.0,1.15,0.7909884329691682,2.388652664734305e-06,1.5,15.840909090909092,10.0,3122.0,46.624049802494056,33.49063815787777,1734.791290069827
full graph,24.0,13857.0,94976.0,237.0,1.0833333333333333,0.7899330407921318,2.087172948341006e-06,1.4166666666666667,13.708017608428953,8.0,2653.0,40.007476243701284,33.046688943824044,1691.3666139980646
full graph,12.0,14185.0,142524.0,237.0,1.6666666666666667,0.9957880895518123,2.9889014366378603e-06,1.3333333333333333,20.095029961226647,12.0,4016.0,59.631276790228725,33.744986368873455,1757.4391492926484
full graph,18.0,14108.0,126724.0,237.0,1.1111111111111112,0.7058946758287846,2.6866457718827616e-06,1.4444444444444444,17.964842642472355,11.0,3584.0,53.277209525828134,33.825091104480784,1761.6392100681162
full graph,9.0,14298.0,174184.0,237.0,1.7777777777777777,1.0505954847131482,3.5953378237579443e-06,1.2222222222222223,24.364806266610714,15.0,4892.0,72.52510100853578,33.92711662401289,1769.1780512187224
full graph,10.0,14238.0,158353.0,237.0,1.7,0.9522687701222882,3.296176629679182e-06,1.4,22.243714004775953,13.0,4495.0,66.31578347232015,34.1117452138597,1792.9912750448752
full graph,8.0,14388.0,205931.0,237.0,1.75,1.0424952121685087,4.197616029795555e-06,1.25,28.625382262996943,17.0,5739.0,85.35133477711095,33.81748721545521,1752.9452268785851
full graph,8.0,14353.0,190094.0,237.0,2.0,1.1744547711032363,3.893722105463242e-06,1.125,26.488399637706404,16.0,5332.0,79.04250308437716,33.94894453309857,1769.092487881327
full graph,8.0,14447.0,237569.0,237.0,1.875,1.0715074280742596,4.8030393011132176e-06,1.25,32.88835052259985,20.0,6602.0,98.13031501857607,33.84795490516637,1753.796980571384
full graph,8.0,14423.0,221696.0,237.0,1.75,1.0355413962445112,4.497057251771967e-06,1.25,30.74200929071622,19.0,6166.0,91.72537268053773,33.824578477858594,1751.223772915538
full graph,8.0,14493.0,269178.0,237.0,2.0,1.1860241802586615,5.407600485987202e-06,1.125,37.14593251914717,23.0,7542.0,111.25435135003042,34.140694748959945,1787.355488595569
full graph,7.0,14470.0,253376.0,237.0,2.142857142857143,1.218122963826422,5.106344156575159e-06,1.1428571428571428,35.020870767104356,21.0,7084.0,104.82124109383817,34.05729376043176,1775.3690480553291
full graph,6.0,14526.0,300942.0,237.0,2.5,1.4040086393410653,6.0182784284215655e-06,1.0,41.43494423791822,25.0,8421.0,124.02990217597181,34.150495796236974,1790.7979159659276
