graph_section,components,num_nodes,num_edges,num_edge_types,mean_component_diameter,mean_component_distance,density,mean_component_connectivity,mean_degree,median_degree,max_degree,stdev_degree,skewness_degree,kurtosis_degree
full graph,2.0,118.0,322.0,33.0,5.0,2.1024737631184407,0.0007067634186278254,1.5,5.4576271186440675,4.0,29.0,5.041596578897336,2.3057047433773845,6.349897606319743
full graph,1.0,133.0,964.0,38.0,5.0,2.349737981316929,0.0014450000599585087,1.0,14.496240601503759,12.0,75.0,13.579409479309936,2.261092130456494,5.778323165697039
full graph,1.0,132.0,643.0,37.0,6.0,2.67499421697895,0.00100499527980444,1.0,9.742424242424242,8.0,53.0,9.403916988633474,2.365860849138221,6.428558088477816
full graph,1.0,135.0,1606.0,40.0,6.0,2.1257048092868986,0.0022194582642343836,1.0,23.79259259259259,19.0,114.0,21.89574499381145,2.062082435989821,4.533051212688127
full graph,1.0,134.0,1285.0,39.0,6.0,2.213556278756593,0.0018487665777532235,1.0,19.17910447761194,15.0,98.0,17.739344393086995,2.150613737877799,5.128162867361203
full graph,1.0,135.0,2248.0,42.0,5.0,1.9915975677169706,0.002958751217457685,2.0,33.303703703703704,25.0,148.0,30.34719440911797,1.9562644695262417,3.7557362079746515
full graph,1.0,135.0,1927.0,42.0,5.0,2.0415699281370925,0.0025362604964595014,1.0,28.548148148148147,22.0,131.0,25.91459434902172,1.9874078597751408,4.073818035749139
full graph,1.0,135.0,2890.0,42.0,4.0,1.877722498618021,0.0038037326594540523,2.0,42.81481481481482,34.0,187.0,38.58212696653728,1.897219131612308,3.507534612591993
full graph,1.0,135.0,2569.0,42.0,4.0,1.9314538419016032,0.0033812419384558687,2.0,38.05925925925926,30.0,168.0,34.23465062119091,1.9151942830840085,3.5853519218742553
full graph,1.0,135.0,3532.0,42.0,3.0,1.8047540077390825,0.00464871410145042,2.0,52.32592592592592,40.0,218.0,47.2977690538993,1.8572456411332934,3.186398344272318
full graph,1.0,135.0,3211.0,42.0,3.0,1.83681592039801,0.004226223380452236,2.0,47.57037037037037,37.0,203.0,42.96950524900546,1.8847068108679974,3.3630078832524504
full graph,1.0,135.0,4174.0,42.0,3.0,1.7480375898286347,0.005493695543446787,2.0,61.837037037037035,47.0,259.0,55.27978766741226,1.847051714588934,3.0752992130803225
